Title,Plot,Released,Genre,Main_Genre,IMDb_Rating,Year,Director,Actors,IMDb_ID
The Omega Man,Dr Robert Neville has developed an experimental vaccine which makes him the only immune survivor of a biological catastrophe. A gang of homicidal mutants blame science for their condition and attempt to kill him.,01 Aug 1971,"Action, Drama, Sci-Fi",Action,6.4,1971,Boris Sagal,"Charlton Heston, Anthony Zerbe, Rosalind Cash",tt0067525
Undisputed 2: Last Man Standing,"Sequel to the 2002 film. This time, Heavyweight Champ George ""Iceman"" Chambers is sent to a Russian Jail on trumped-up drug charges.",28 Feb 2007,"Action, Crime, Drama, Sport",Action,7.1,2006,Isaac Florentine,"Michael Jai White, Scott Adkins, Ben Cross, Eli Danker",tt0443676
"Game Over, Man!",Three friends are on the verge of getting their video game financed when their benefactor is taken hostage by terrorists.,23 Mar 2018,"Action, Comedy",Action,5.5,2018,Kyle Newacheck,"Adam Devine, Anders Holm, Blake Anderson",tt3317234
The Legend Is Born: Ip Man,"Yip Man's resistance against invading foreigners, along with his romantic relations while under the tutelage of three Wing Chun masters.",24 Jun 2010,"Action, Biography, Drama",Action,7.0,2010,Herman Yau,"Yu-Hang To, Huang Yi, Biao Yuen",tt1641638
Max Manus: Man of War,The true story about one of the most brilliant saboteurs during World War II and his battle to overcome his inner demons.,03 Sep 2010,"Action, Biography, Crime",Action,7.3,2008,"Joachim Rønning, Espen Sandberg","Aksel Hennie, Agnes Kittelsen, Nicolai Cleve Broch",tt1029235
Hanu Man,An imaginary place called Anjanadri where the protagonist gets the powers of Hanuman and fights for Anjanadri.,12 Jan 2024,"Action, Adventure, Fantasy",Action,7.8,2024,Prasanth Varma,"Teja Sajja, Amritha Aiyer, Varalaxmi Sarathkumar",tt15433956
The Man,"Special Agent Derrick Vann is a man out to get the man who killed his partner, but a case of mistaken identity leads him to Andy Fiddler, a salesman with too many questions and a knack of getting in Vann's way.",09 Sep 2005,"Action, Comedy, Crime",Action,5.5,2005,Les Mayfield,"Samuel L. Jackson, Eugene Levy, Miguel Ferrer",tt0399327
Harley Davidson and the Marlboro Man,"Two lone riders hold up a bank's armoured car to save their friend's bar from imminent foreclosure. Soon, the mission goes awry when they discover the vehicle's unexpected cargo.",23 Aug 1991,"Action, Crime, Drama",Action,6.1,1991,Simon Wincer,"Mickey Rourke, Don Johnson, Chelsea Field",tt0102005
The Glimmer Man,"Two cops are forced to work together to solve a chain of mysterious killings by a killer nicknamed ""The Family Man"".",04 Oct 1996,"Action, Comedy, Crime",Action,5.4,1996,John Gray,"Steven Seagal, Keenen Ivory Wayans, Bob Gunton",tt0116421
The Man with the Iron Heart,"As Germany expands its borders, scorching Europe from end to end, two brave Czechs of the Resistance prepare to assassinate Reinhard Heydrich, the mastermind behind the hideous ""Final Solution"" to the ""Jewish Question"".",07 Jun 2017,"Action, Biography, Thriller",Action,6.4,2017,Cédric Jimenez,"Jason Clarke, Rosamund Pike, Jack O'Connell",tt3296908
The Bag Man,"A criminal bides his time at a seedy motel, waiting for his boss after killing several men and making away with a mystery bag.",28 Feb 2014,"Action, Crime, Drama",Action,5.2,2014,David Grovic,"John Cusack, Rebecca Da Costa, Robert De Niro",tt2212008
Accident Man,"Mike is a tough hitman, who makes his hits look like accidents or suicide. He's in a gang of hitmen, each with his own style. When his loved ex is killed, Mike looks for those responsible.",06 Feb 2018,"Action, Adventure, Comedy",Action,6.2,2018,Jesse V. Johnson,"Scott Adkins, Ray Stevenson, David Paymer",tt6237612
Hellboy: The Crooked Man,"Hellboy and a rookie B.P.R.D. agent in the 1950s are sent to the Appalachians, where they discover a remote community dominated by witches and led by the sinister local demon, the Crooked Man.",08 Oct 2024,"Action, Horror, Mystery",Action,4.5,2024,Brian Taylor,"Jack Kesy, Jefferson White, Adeline Rudolph",tt26757462
Last Man Down,"John Wood left the pieces of a broken civilisation behind, to go back to his roots in the woodland, after a virus pandemic struck the world.",19 Oct 2021,"Action, Sci-Fi",Action,3.5,2021,Fansu Njie,"Daniel Stisen, Olga Kent, Daniel Nehme",tt12335692
Business Man,"A highly ambitious man visits Mumbai with the notion of ruling the city. He turns into a local gangster and manages to become a powerful businessman, though, his intentions are not what they seem.",13 Jan 2012,"Action, Crime, Drama",Action,7.2,2012,Puri Jagannadh,"Mahesh Babu, Kajal Aggarwal, Prakash Raj",tt2071613
Ip Man: The Final Fight,"In postwar Hong Kong, legendary Wing Chun grandmaster Ip Man is reluctantly called into action once more, when what begin as simple challenges from rival kung fu styles soon draw him into the dark and dangerous underworld of the T...",28 Mar 2013,"Action, Biography, Drama",Action,6.1,2013,Herman Yau,"Anthony Chau-Sang Wong, Gillian Chung, Jordan Chan",tt2495118
The Stunt Man,"A fugitive stumbles onto a movie set just when they need a new stunt man, takes the job as a way to hide out and falls for the leading lady while facing off with his manipulative director.",27 Jun 1980,"Action, Comedy, Drama",Action,7.0,1980,Richard Rush,"Peter O'Toole, Steve Railsback, Barbara Hershey",tt0081568
Dog Man,"After a policeman and his police dog are fused together to turn into Dog Man, he must stop the villainous Petey the Cat from cloning himself and creating an evil kitten, doubling his evil abilities.",31 Jan 2025,"Animation, Action, Adventure",Action,6.3,2025,Peter Hastings,"Pete Davidson, Poppy Liu, Lil Rel Howery",tt10954718
Lawnmower Man 2: Beyond Cyberspace,"They thought they had destroyed him, but the simple gardener-turned-superkiller has found a way to reboot himself in Lawnmower Man 2: Beyond Cyberspace.",12 Jan 1996,"Action, Sci-Fi, Thriller",Action,2.6,1995,Farhad Mann,"Patrick Bergin, Matt Frewer, Austin O'Brien",tt0116839
Master Z: The Ip Man Legacy,"While keeping a low profile after his defeat by Ip Man, Cheung Tin Chi gets into trouble after getting in a fight with a powerful foreigner.",20 Dec 2018,"Action, Biography, Crime",Action,6.5,2018,Yuen Woo-Ping,"Jin Zhang, Dave Bautista, Yan Liu",tt7262882
Wonder Woman,"When a pilot crashes and tells of conflict in the outside world, Diana, an Amazonian warrior in training, leaves home to fight a war, discovering her full powers and true destiny.",02 Jun 2017,"Action, Adventure, Fantasy",Action,7.3,2017,Patty Jenkins,"Gal Gadot, Chris Pine, Robin Wright",tt0451279
Wonder Woman 1984,"Wonder Woman finds herself battling two opponents, Maxwell Lord, a shrewd entrepreneur, and Barbara Minerva, a friend-turned-foe. Meanwhile, she also ends up crossing paths with her love interest.",25 Dec 2020,"Action, Adventure, Fantasy",Action,5.4,2020,Patty Jenkins,"Gal Gadot, Chris Pine, Kristen Wiig",tt7126948
The Woman King,"A historical epic inspired by true events that took place in The Kingdom of Dahomey, one of the most powerful states of Africa in the 18th and 19th centuries.",16 Sep 2022,"Action, Drama, History",Action,6.9,2022,Gina Prince-Bythewood,"Viola Davis, Thuso Mbedu, Lashana Lynch",tt8093700
Wonder Woman,A modern man's trespass of the island of the Amazons enables an imprisoned war god to escape and Princess Diana wins the responsibility to recapture him.,03 Mar 2009,"Animation, Action, Adventure, Fantasy, Sci-Fi",Action,7.3,2009,Lauren Montgomery,"Keri Russell, Nathan Fillion, Alfred Molina, Rosario Dawson",tt1186373
Wonder Woman: Bloodlines,"Wonder Woman tries to help a troubled young girl, Vanessa, who has fallen in with a deadly organization known as Villainy Inc. headed by Dr. Cyber.",05 Oct 2019,"Animation, Action, Fantasy",Action,5.9,2019,"Justin Copeland, Sam Liu","Rosario Dawson, Jeffrey Donovan, Marie Avgeropoulos",tt8752498
His Kind of Woman,"A deported gangster's plan to re-enter the USA involves skulduggery at a Mexican resort, and gambler Dan Milner is caught in the middle.",05 Oct 1951,"Action, Crime, Film-Noir",Action,7.0,1951,"John Farrow, Richard Fleischer","Robert Mitchum, Jane Russell, Vincent Price",tt0043643
Gun Woman,"A brilliant doctor on a quest for revenge buys a young woman and trains her to be the ultimate assassin, implanting gun parts in her body that she must later assemble and use to kill her target before she bleeds to death.",29 May 2014,"Action, Thriller",Action,4.8,2014,Kurando Mitsutake,"Jennifer Mullaney, Matthew Floyd Miller, Dean Simone",tt3141912
Tarzan and the Leopard Woman,"As a spate of leopard attacks causes panic, a sceptical Tarzan joins a hunting expedition, only to face a pagan cult of leopard-god worshippers and their fiendish high priestess. Can he escape the sharp claws of the savage Leopard...",29 Mar 1946,"Action, Adventure, Romance",Action,6.1,1946,Kurt Neumann,"Johnny Weissmuller, Brenda Joyce, Johnny Sheffield",tt0039011
Wonder Woman,"It's the modern day, and being Wonder Woman is complicated. Diana is leading a triple life - running a large corporation out of costume and fighting crime in costume in one identity.",N/A,"Action, Adventure, Fantasy",Action,4.2,2011,Jeffrey Reiner,"Pedro Pascal, Adrianne Palicki, Cary Elwes",tt1740828
Police Woman,"Ho Mei Fong, dies mysteriously in a cab, leaving behind a hidden bag. The cab driver and the victim's sister, an undercover policewoman, become embroiled in a dangerous search as they are pursued by criminals.",26 Apr 1973,"Action, Crime",Action,3.6,1973,Mu Chu,"Charlie Chin, Qiu Yuen, Betty Pei Ti",tt0124836
Wonder Woman,"A quick glimpse into Wonder Woman, facing two simultaneous battles, one on Earth and the other in Themyscira.",30 Sep 2013,"Short, Action, Fantasy",Action,6.0,2013,Sam Balcomb,"Rileah Vanderbilt, Clare Grant, Alicia Marie",tt3439676
Bionic Showdown: The Six Million Dollar Man and the Bionic Woman,"The Bionic Woman and the Six Million Dollar Man reunite, with a few younger bionic assistants, and try to catch a bionic spy.",30 Apr 1989,"Action, Sci-Fi",Action,5.9,1989,Alan J. Levi,"Lindsay Wagner, Lee Majors, Richard Anderson",tt0096931
Bring Me the Head of the Machine Gun Woman,"Timid, video game-loving DJ Santiago seemingly digs his own grave when he agrees to bring a violent criminal kingpin the head of Machine Gun Woman.",23 May 2013,"Action, Comedy, Crime",Action,5.4,2012,Ernesto Díaz Espinoza,"Fernanda Urrejola, Matías Oviedo, Jorge Alís",tt2424028
The Return of the Six-Million-Dollar Man and the Bionic Woman,"Nine years after his retirement from the government, Colonel Steve Austin must again team up with Jaime Sommers to stop a terrorist group. Complicating matters for Austin are his estranged son Michael, who struggles for his father...",17 May 1987,"Action, Sci-Fi",Action,6.3,1987,Ray Austin,"Lindsay Wagner, Lee Majors, Tom Schanley",tt0093853
Zero Woman: Red Handcuffs,"After a politician's daughter is kidnapped by a ruthless gang, a brutal policewoman is released from jail and sent after them.",21 May 1974,"Action, Crime, Drama",Action,6.6,1974,Yukio Noda,"Miki Sugimoto, Eiji Gô, Tetsurô Tanba",tt0283693
Tell It Like a Woman,"Stories of women, both in front of and behind the camera.",17 Feb 2023,"Action, Comedy, Drama",Action,3.7,2022,"Lucia Bulgheroni, Silvia Carobbio, Catherine Hardwicke","Cara Delevingne, Eva Longoria, Marcia Gay Harden",tt5850650
South Sea Woman,AWOL marine Sgt. Jim O'Hearn is court-martialed for a variety of offenses that carry 143 years in the stockade or the death penalty but refuses to aid in his own defense.,27 Jun 1953,"Action, Adventure, Comedy",Action,6.2,1953,Arthur Lubin,"Burt Lancaster, Virginia Mayo, Chuck Connors",tt0046348
Thor: Love and Thunder,"Thor enlists the help of Valkyrie, Korg and ex-girlfriend Jane Foster to fight Gorr the God Butcher, who intends to make the gods extinct.",08 Jul 2022,"Action, Adventure, Comedy",Action,6.2,2022,Taika Waititi,"Chris Hemsworth, Natalie Portman, Christian Bale",tt10648342
Love and Monsters,"Seven years after he survived the monster apocalypse, lovably hapless Joel leaves his cozy underground bunker behind on a quest to reunite with his high school sweetheart.",16 Oct 2020,"Action, Adventure, Comedy",Action,6.9,2020,Michael Matthews,"Dylan O'Brien, Jessica Henwick, Michael Rooker",tt2222042
From Russia with Love,James Bond willingly falls into an assassination plot involving a naive Russian beauty in order to retrieve a Soviet encryption device that was stolen by the organization Spectre.,27 May 1964,"Action, Adventure, Thriller",Action,7.3,1963,Terence Young,"Sean Connery, Robert Shaw, Lotte Lenya",tt0057076
From Paris with Love,"In Paris, a young employee in the office of the US Ambassador hooks up with an American spy looking to stop a terrorist attack in the city.",05 Feb 2010,"Action, Crime, Thriller",Action,6.4,2010,Pierre Morel,"John Travolta, Jonathan Rhys Meyers, Kasia Smutniak",tt1179034
Love Exposure,"A bizarre love triangle forms between a young Catholic upskirt photographer, a misandric girl and a manipulative cultist.",31 Jan 2009,"Action, Comedy, Drama",Action,8.0,2008,Sion Sono,"Takahiro Nishijima, Hikari Mitsushima, Sakura Andô",tt1128075
I Love Trouble,Peter Brackett and Sabrina Peterson are two competing Chicago newspaper reporters who join forces to unravel the mystery behind a train derailment.,29 Jun 1994,"Action, Comedy, Romance",Action,5.3,1994,Charles Shyer,"Nick Nolte, Julia Roberts, Saul Rubinek",tt0110093
Love Hurts,"A realtor is pulled back into the life he left behind after his former partner-in-crime resurfaces with an ominous message. With his crime-lord brother also on his trail, he must confront his past and the history he never fully bu...",07 Feb 2025,"Action, Comedy, Romance",Action,5.3,2025,Jonathan Eusebio,"Ke Huy Quan, Ariana DeBose, Mustafa Shakir",tt30788842
Love Hostel,"Set against the pulsating backdrop of rustic North India, Love Hostel traces the volatile journey of a spirited young couple, being hunted by a ruthless mercenary.",25 Feb 2022,"Action, Crime, Romance",Action,5.8,2022,Shanker Raman,"Bobby Deol, Vikrant Massey, Sanya Malhotra",tt13364468
