Title,Plot,Released,Genre,Main_Genre,IMDb_Rating,Year,Director,Actors,IMDb_ID
The Bye Bye Man,Three friends stumble upon the horrific origins of a mysterious figure they discover is the root cause of the evil behind unspeakable acts.,13 Jan 2017,"Drama, Fantasy, Horror",Drama,4.3,2017,Stacy Title,"Douglas Smith, Lucien Laviscount, Cressida Bonas",tt4030600
The Man Without a Past,"M arrives in Helsinki only to be viciously attacked by thugs and pronounced dead by medics. He revives but with no memory of his past or his identity. He rebuilds his life from scratch, but the past inevitably catches up with him.",01 Mar 2002,"Comedy, Drama, Romance",Drama,7.6,2002,Aki Kaurismäki,"Markku Peltola, Kati Outinen, Annikki Tähti",tt0311519
Medicine Man,"In the beautiful and dangerous Amazon rainforest, dissimilar people must make their choices between business, science, and love.",07 Feb 1992,"Adventure, Drama, Romance",Drama,6.0,1992,John McTiernan,"Sean Connery, Lorraine Bracco, José Wilker",tt0104839
The Angriest Man in Brooklyn,A perpetually angry man is informed he has 90 minutes to live and promptly sets out to reconcile with his family and friends in the short time he has left.,23 May 2014,"Comedy, Drama",Drama,5.7,2014,Phil Alden Robinson,"Robin Williams, Mila Kunis, Peter Dinklage",tt1294970
When a Man Loves a Woman,The seemingly perfect relationship between a man and his wife is tested as a result of her alcoholism.,13 May 1994,"Drama, Romance",Drama,6.6,1994,Luis Mandoki,"Meg Ryan, Andy Garcia, Ellen Burstyn",tt0111693
Eat Drink Man Woman,A senior chef lives with his three grown daughters; the middle one finds her future plans affected by unexpected events and the life changes of the other household members.,03 Aug 1994,"Comedy, Drama, Romance",Drama,7.8,1994,Ang Lee,"Sihung Lung, Kuei-Mei Yang, Wang Yu-wen",tt0111797
He Was a Quiet Man,An unhinged office worker who planned to go on a shooting spree at his workplace struggles with his newfound status as a hero after he ends up stopping a shooting spree instead.,17 May 2020,"Drama, Romance, Thriller",Drama,6.7,2007,Frank A. Cappello,"Christian Slater, Elisha Cuthbert, William H. Macy",tt0760311
Harley Davidson and the Marlboro Man,"Two lone riders hold up a bank's armoured car to save their friend's bar from imminent foreclosure. Soon, the mission goes awry when they discover the vehicle's unexpected cargo.",23 Aug 1991,"Action, Crime, Drama",Drama,6.1,1991,Simon Wincer,"Mickey Rourke, Don Johnson, Chelsea Field",tt0102005
The Man Who Killed Don Quixote,"Toby, a disillusioned film director, is pulled into a world of time-jumping fantasy when a Spanish cobbler believes himself to be Sancho Panza. He gradually becomes unable to tell dreams from reality.",19 Apr 2019,"Adventure, Comedy, Drama",Drama,6.3,2018,Terry Gilliam,"José Luis Ferrer, Ismael Fritschi, Juan López-Tagle",tt1318517
Tucker: The Man and His Dream,"The story of Preston Tucker, the maverick car designer and his ill-fated challenge to the auto industry with his revolutionary car concept.",12 Aug 1988,"Biography, Comedy, Drama",Drama,6.9,1988,Francis Ford Coppola,"Jeff Bridges, Joan Allen, Martin Landau",tt0096316
The Last Black Man in San Francisco,A young man searches for home in the changing city that seems to have left him behind.,07 Jun 2019,Drama,Drama,7.2,2019,Joe Talbot,"Jimmie Fails, Jonathan Majors, Rob Morgan",tt4353250
The Last Man on Earth,"When a disease turns all of humanity into the living dead, the last man on earth becomes a reluctant vampire hunter.",06 May 1964,"Drama, Horror, Sci-Fi",Drama,6.7,1964,"Ubaldo Ragona, Sidney Salkow","Vincent Price, Franca Bettoia, Emma Danieli",tt0058700
Holy Man,"An over-the-top television evangelist finds a way to turn television home shopping into a religious experience, and takes America by storm.",09 Oct 1998,"Comedy, Drama",Drama,5.0,1998,Stephen Herek,"Eddie Murphy, Jeff Goldblum, Kelly Preston",tt0120701
Paper Man,A washed-up writer forms an unlikely friendship with a teenager from Long Island.,01 May 2014,"Comedy, Drama",Drama,6.5,2009,"Kieran Mulroney, Michele Mulroney","Jeff Daniels, Emma Stone, Ryan Reynolds",tt0437405
The Man Who Invented Christmas,"The journey that led to Charles Dickens' creation of ""A Christmas Carol,"" a timeless tale that would redefine Christmas.",22 Nov 2017,"Biography, Comedy, Drama",Drama,7.0,2017,Bharat Nalluri,"Dan Stevens, Mark Schrier, Patrick Joseph Byrnes",tt6225520
Manjhi: The Mountain Man,"Using only a hammer and a chisel, a man spends twenty-two years carving a road through a treacherous mountain.",21 Aug 2015,"Biography, Drama",Drama,8.0,2015,Ketan Mehta,"Nawazuddin Siddiqui, Radhika Apte, Ashutosh Acharya",tt3449292
Renaissance Man,A failed businessman is hired by the army to teach a group of underachieving recruits in order to help them pass basic training.,03 Jun 1994,"Comedy, Drama",Drama,6.2,1994,Penny Marshall,"Danny DeVito, Gregory Hines, James Remar",tt0110971
The Man in the Moon,A coming of age story set in the south of the U.S. when Elvis was King.,04 Oct 1991,"Drama, Romance",Drama,7.3,1991,Robert Mulligan,"Sam Waterston, Tess Harper, Gail Strickland",tt0102388
The Bothersome Man,In a strange city where every person seems content beyond reason a new man arrives in town and stirs up trouble by asking too many questions.,24 Aug 2007,"Comedy, Drama, Fantasy",Drama,7.2,2006,Jens Lien,"Trond Fausa, Petronella Barker, Per Schaanning",tt0808185
The Bag Man,"A criminal bides his time at a seedy motel, waiting for his boss after killing several men and making away with a mystery bag.",28 Feb 2014,"Action, Crime, Drama",Drama,5.2,2014,David Grovic,"John Cusack, Rebecca Da Costa, Robert De Niro",tt2212008
The Best Man Holiday,"When college friends reunite after 15 years over the Christmas holidays, they discover just how easy it is for long-forgotten rivalries and romances to be reignited.",15 Nov 2013,"Comedy, Drama",Drama,6.6,2013,Malcolm D. Lee,"Monica Calhoun, Morris Chestnut, Melissa De Sousa",tt2083355
Solitary Man,A car magnate watches his personal and professional life hit the skids because of his business and romantic indiscretions.,25 Jun 2010,"Comedy, Drama, Romance",Drama,6.3,2009,"Brian Koppelman, David Levien","Michael Douglas, Susan Sarandon, Jesse Eisenberg",tt1294213
Little Man Tate,"A single mother raises a child prodigy on her own, struggling to give him every opportunity he needs to express his gift.",01 Nov 1991,Drama,Drama,6.6,1991,Jodie Foster,"Jodie Foster, Dianne Wiest, Adam Hann-Byrd",tt0102316
The Man Who Cried,A young refugee traveling from Russia to America in search of her lost father falls for a gypsy horseman.,27 Jul 2001,"Drama, Music, Romance",Drama,6.1,2000,Sally Potter,"Christina Ricci, Cate Blanchett, Oleg Yankovskiy",tt0206917
Lamborghini: The Man Behind the Legend,"This thrilling, high-speed biopic reveals one man's dream of making the world's fastest car-and beating rival Enzo Ferrari.",18 Nov 2022,"Biography, Drama, Sport",Drama,5.5,2022,Bobby Moresco,"Frank Grillo, Gabriel Byrne, Mira Sorvino",tt5533370
Mark Felt: The Man Who Brought Down the White House,"The story of Mark Felt, who under the name ""Deep Throat"" helped journalists Bob Woodward and Carl Bernstein uncover the Watergate scandal in 1972.",29 Sep 2017,"Biography, Drama, History",Drama,6.4,2017,Peter Landesman,"Liam Neeson, Diane Lane, Marton Csokas",tt5175450
The Man Who Killed Hitler and Then the Bigfoot,A legendary American war veteran is recruited to hunt a mythical creature.,08 Feb 2019,"Adventure, Drama, Sci-Fi",Drama,5.7,2018,Robert D. Krzykowski,"Sam Elliott, Rocco Gioffre, Aidan Turner",tt7042862
A Family Man,"A headhunter whose life revolves around closing deals in a survival-of-the-fittest boiler room battles his top rival for control of their job placement company, but his dream of owning the company clashes with the needs of his fam...",28 Jul 2017,Drama,Drama,6.5,2016,Mark Williams,"Gerard Butler, Gretchen Mol, Alison Brie",tt1718924
I'm Your Man,"In order to obtain research funds for her studies, a scientist accepts an offer to participate in an extraordinary experiment: for three weeks, she is to live with a humanoid robot, created to make her happy.",24 Sep 2021,"Comedy, Drama, Romance",Drama,7.1,2021,Maria Schrader,"Maren Eggert, Dan Stevens, Sandra Hüller",tt13087796
Holding the Man,"Tim and John fell in love at their all-boys high school. Their romance endured for 15 years to laugh in the face of everything life threw at it - the separations, the discrimination, the temptations, the jealousies and the losses.",27 Aug 2015,"Biography, Drama, History",Drama,7.4,2015,Neil Armfield,"Ryan Corr, Sarah Snook, Francesco Ferdinandi",tt3671542
Spinning Man,"A happily married professor, known for having many affairs with students, becomes the prime suspect when a young woman has gone missing.",06 Apr 2018,"Drama, Mystery, Thriller",Drama,5.7,2018,Simon Kaijser,"Guy Pearce, Pierce Brosnan, Minnie Driver",tt5616294
The Man with the Golden Arm,A junkie must face his true self to kick his drug addiction.,16 Jan 1956,"Crime, Drama, Romance",Drama,7.3,1955,Otto Preminger,"Frank Sinatra, Kim Novak, Eleanor Parker",tt0048347
The Fury of a Patient Man,"A hard-working single mother and wife of a getaway driver who is about to be released is approached by an unassuming and gentle man, completely unaware though of his inscrutable and utterly impelling motives.",15 Feb 2017,"Crime, Drama, Thriller",Drama,6.7,2016,Raúl Arévalo,"Antonio de la Torre, Luis Callejo, Ruth Díaz",tt4771896
Blow the Man Down,"Mary Beth and Priscilla Connolly attempt to cover up a gruesome run-in with a dangerous man. To conceal their crime, the sisters must go deep into the criminal underbelly of their hometown, uncovering the town's darkest secrets.",20 Mar 2020,"Comedy, Crime, Drama",Drama,6.4,2019,"Bridget Savage Cole, Danielle Krudy","David Coffin, David Pridemore, Adam Wolf Mayerson",tt8299768
The Other Man,"The story of a husband who suspects his wife of adultery, and sets out to track down the other man in her life.",27 May 2009,"Drama, Mystery, Thriller",Drama,5.4,2008,Richard Eyre,"Liam Neeson, Antonio Banderas, Laura Linney",tt0974613
The Best Man,"Just before his best friend's wedding, the life of a Chicago writer becomes crazy when his best friend guesses that his new book's story is based on his bride's fervent past.",22 Oct 1999,"Comedy, Drama, Romance",Drama,6.7,1999,Malcolm D. Lee,"Taye Diggs, Nia Long, Morris Chestnut",tt0168501
A Man and a Woman,"A widow and a widower find their relationship developing into love, but their past tragedies prove hard to overcome, causing them to proceed with utmost delicacy.",12 Jul 1966,"Drama, Romance",Drama,7.5,1966,Claude Lelouch,"Anouk Aimée, Jean-Louis Trintignant, Pierre Barouh",tt0061138
The Man from Laramie,Newcomer Will Lockhart defies the local cattle baron and his sadistic son by working for one of his oldest rivals.,31 Aug 1955,"Drama, Western",Drama,7.3,1955,Anthony Mann,"James Stewart, Arthur Kennedy, Donald Crisp",tt0048342
Odd Man Out,A wounded Irish nationalist leader attempts to evade police following a failed robbery in Belfast.,23 Apr 1947,"Crime, Drama, Film-Noir",Drama,7.6,1947,Carol Reed,"James Mason, Robert Newton, Cyril Cusack",tt0039677
The Man Who Copied,A Brazilian photocopier operator falls in love with a girl who lives in an opposite house and spends his evenings looking at her through his binoculars.,13 Jun 2003,"Comedy, Crime, Drama",Drama,7.6,2003,Jorge Furtado,"Lázaro Ramos, Leandra Leal, Luana Piovani",tt0367859
Business Man,"A highly ambitious man visits Mumbai with the notion of ruling the city. He turns into a local gangster and manages to become a powerful businessman, though, his intentions are not what they seem.",13 Jan 2012,"Action, Crime, Drama",Drama,7.2,2012,Puri Jagannadh,"Mahesh Babu, Kajal Aggarwal, Prakash Raj",tt2071613
Ip Man: The Final Fight,"In postwar Hong Kong, legendary Wing Chun grandmaster Ip Man is reluctantly called into action once more, when what begin as simple challenges from rival kung fu styles soon draw him into the dark and dangerous underworld of the T...",28 Mar 2013,"Action, Biography, Drama",Drama,6.1,2013,Herman Yau,"Anthony Chau-Sang Wong, Gillian Chung, Jordan Chan",tt2495118
Man Down,"In a post-apocalyptic America, former U.S. Marine Gabriel Drummer searches desperately for the whereabouts of his son, accompanied by his best friend and a survivor.",02 Dec 2016,"Drama, Thriller, War",Drama,6.0,2015,Dito Montiel,"Shia LaBeouf, Jai Courtney, Gary Oldman",tt2461520
4th Man Out,"A car mechanic in a small, working class town comes out of the closet to his unsuspecting, blue-collar best friends.",05 Feb 2016,"Comedy, Drama",Drama,6.7,2015,Andrew Nackman,"Parker Young, Evan Todd, Chord Overstreet",tt3978720
The Man in the White Suit,"An altruistic chemist invents a fabric which resists wear and stain as a boon to humanity, but big business and labor realize it must be suppressed for economic reasons.",N/A,"Comedy, Drama, Sci-Fi",Drama,7.2,1951,Alexander Mackendrick,"Alec Guinness, Joan Greenwood, Cecil Parker",tt0044876
The Giant Mechanical Man,An offbeat romantic comedy about a silver-painted street performer and the soft spoken zoo worker who falls for him.,27 Apr 2012,"Comedy, Drama, Romance",Drama,6.6,2012,Lee Kirk,"Jenna Fischer, Chris Messina, Topher Grace",tt1769363
The Stunt Man,"A fugitive stumbles onto a movie set just when they need a new stunt man, takes the job as a way to hide out and falls for the leading lady while facing off with his manipulative director.",27 Jun 1980,"Action, Comedy, Drama",Drama,7.0,1980,Richard Rush,"Peter O'Toole, Steve Railsback, Barbara Hershey",tt0081568
The Man from Earth: Holocene,"A 14,000-year-old college professor notices that he has finally started showing signs of aging. Meanwhile, four of his students get suspicious of him and start investigating his past.",15 Jan 2018,"Drama, Fantasy, Sci-Fi",Drama,5.2,2017,Richard Schenkman,"David Lee Smith, Doug Haley, Davi Santos",tt5770864
Scent of a Woman,"A prep school student needing money agrees to ""babysit"" a blind man, but the job is not at all what he anticipated.",08 Jan 1993,Drama,Drama,8.0,1992,Martin Brest,"Al Pacino, Chris O'Donnell, James Rebhorn",tt0105323
Promising Young Woman,"Nothing in Cassie's life is what it appears to be - she's wickedly smart, tantalizingly cunning, and she's living a secret double life. Now, an unexpected encounter is about to give Cassie a chance to right the wrongs from the past.",25 Dec 2020,"Crime, Drama, Mystery",Drama,7.5,2020,Emerald Fennell,"Carey Mulligan, Bo Burnham, Alison Brie",tt9620292
The Woman in Black,A young solicitor travels to a remote village where he discovers that the vengeful ghost of a scorned woman is terrorizing the locals.,03 Feb 2012,"Drama, Fantasy, Horror",Drama,6.4,2012,James Watkins,"Daniel Radcliffe, Janet McTeer, Ciarán Hinds",tt1596365
The Woman in the Window,"An agoraphobic woman living alone in New York begins spying on her new neighbors, only to witness a disturbing act of violence.",14 May 2021,"Crime, Drama, Mystery",Drama,5.7,2021,Joe Wright,"Amy Adams, Gary Oldman, Anthony Mackie",tt6111574
The Woman King,"A historical epic inspired by true events that took place in The Kingdom of Dahomey, one of the most powerful states of Africa in the 18th and 19th centuries.",16 Sep 2022,"Action, Drama, History",Drama,6.9,2022,Gina Prince-Bythewood,"Viola Davis, Thuso Mbedu, Lashana Lynch",tt8093700
Woman of the Hour,"Sheryl Bradshaw, a single woman looking for a suitor on a hit 1970s TV show, chooses charming bachelor Rodney Alcala, unaware that, behind the man's gentle facade, he hides a deadly secret.",18 Oct 2024,"Crime, Drama, Mystery",Drama,6.6,2023,Anna Kendrick,"Anna Kendrick, Daniel Zovatto, Tony Hale",tt7737800
Woman in Gold,"Maria Altmann, an octogenarian Jewish refugee, takes on the Austrian government to recover artwork she believes rightfully belongs to her family.",10 Apr 2015,"Biography, Drama, History",Drama,7.3,2015,Simon Curtis,"Helen Mirren, Ryan Reynolds, Daniel Brühl",tt2404425
Pieces of a Woman,"When a young mother's home birth ends in unfathomable tragedy, she begins a year-long odyssey of mourning that fractures relationships with loved ones in this deeply personal story of a woman learning to live alongside her loss.",07 Jan 2021,Drama,Drama,7.0,2020,Kornél Mundruczó,"Vanessa Kirby, Shia LaBeouf, Ellen Burstyn",tt11161474
A Woman Under the Influence,"Although wife and mother Mabel is loved by her husband Nick, her mental illness places a strain on the marriage.",18 Nov 1974,"Drama, Romance",Drama,8.0,1974,John Cassavetes,"Gena Rowlands, Peter Falk, Fred Draper",tt0072417
The Woman in Black 2: Angel of Death,"40 years after the first haunting at Eel Marsh House, a group of children evacuated from WWII London arrives, awakening the house's darkest inhabitant.",02 Jan 2015,"Drama, Horror, Thriller",Drama,4.8,2014,Tom Harper,"Helen McCrory, Jeremy Irvine, Phoebe Fox",tt2339741
A Fantastic Woman,"Marina, a transgender woman who works as a waitress and moonlights as a nightclub singer, is bowled over by the death of her older boyfriend.",02 Feb 2018,Drama,Drama,7.2,2017,Sebastián Lelio,"Daniela Vega, Francisco Reyes, Luis Gnecco",tt5639354
The Woman,"When a successful country lawyer captures and attempts to ""civilize"" the last remaining member of a violent clan that has roamed the Northeast coast for decades, he puts the lives of his family in jeopardy.",18 Aug 2011,"Drama, Horror, Thriller",Drama,6.0,2011,Lucky McKee,"Pollyanna McIntosh, Brandon Gerald Fuller, Lauren Ashley Carter",tt1714208
Woman in the Dunes,An entomologist on vacation is trapped by local villagers into living with a woman whose life task is shoveling sand for them.,25 Oct 1964,"Drama, Thriller",Drama,8.5,1964,Hiroshi Teshigahara,"Eiji Okada, Kyôko Kishida, Kôji Mitsui",tt0058625
The Other Woman,The story of a woman dealing with her infant daughter's death while trying to keep her marriage and her relationship with her stepson.,28 Oct 2010,Drama,Drama,6.3,2009,Don Roos,"Natalie Portman, Scott Cohen, Lisa Kudrow",tt1032825
I Could Never Be Your Woman,A mother falls for a younger man while her daughter falls in love for the first time. Mother Nature messes with their fates.,11 May 2007,"Comedy, Drama, Romance",Drama,6.0,2007,Amy Heckerling,"Michelle Pfeiffer, Paul Rudd, Saoirse Ronan",tt0466839
A Woman Is a Woman,An exotic dancer is desperate to become a mother and accepts her reluctant boyfriend's suggestion that she be impregnated by his best friend.,06 Sep 1961,"Comedy, Drama, Romance",Drama,7.3,1961,Jean-Luc Godard,"Anna Karina, Jean-Claude Brialy, Jean-Paul Belmondo",tt0055572
The Woman in the Window,A reserved professor meets a model and gets mixed up in murder.,03 Nov 1944,"Crime, Drama, Film-Noir",Drama,7.6,1944,Fritz Lang,"Edward G. Robinson, Joan Bennett, Raymond Massey",tt0037469
Kiss of the Spider Woman,A gay man and a political prisoner are together in a prison. The gay man narrates the stories of two fake movies and his own life.,26 Jul 1985,Drama,Drama,7.3,1985,Hector Babenco,"William Hurt, Raul Julia, Sonia Braga",tt0089424
Young Woman and the Sea,"The story of competitive swimmer Gertrude Ederle, who, in 1926, was the first woman to ever swim across the English Channel.",19 Jul 2024,"Biography, Drama, Romance",Drama,7.5,2024,Joachim Rønning,"Daisy Ridley, Tilda Cobham-Hervey, Stephen Graham",tt5177114
Diary of a Mad Black Woman,A couple's seemingly solid marriage begins to crumble when the wife discovers that her husband intends to divorce her.,25 Feb 2005,"Comedy, Drama, Romance",Drama,5.7,2005,Darren Grant,"Kimberly Elise, Steve Harris, Tyler Perry",tt0422093
The Unknown Woman,"Haunted by a horrible past, a young Ukrainian woman calculatedly insinuates herself into the life of a rich Italian family.",20 Oct 2006,"Drama, Mystery, Thriller",Drama,7.4,2006,Giuseppe Tornatore,"Ksenia Rappoport, Michele Placido, Claudia Gerini",tt0494271
The French Lieutenant's Woman,Anna and Mike portray two characters in a film set in 19th century England who fall in love despite the fact that Mike's character is engaged.,16 Oct 1981,"Drama, Romance",Drama,6.9,1981,Karel Reisz,"Meryl Streep, Jeremy Irons, Hilton McRae",tt0082416
Another Woman,"Facing a mid-life crisis, 50-year-old college dean Marion Post takes a sabbatical and rents an apartment next to a psychiatrist's office to write a new book, then is drawn to the plight of a pregnant woman seeking that doctor's help.",18 Nov 1988,Drama,Drama,7.2,1988,Woody Allen,"Gena Rowlands, Mia Farrow, Ian Holm",tt0094663
Letter from an Unknown Woman,"A pianist about to flee from a duel receives a letter from a woman he cannot remember, who may hold the key to his downfall.",16 Jul 1948,"Drama, Romance",Drama,7.8,1948,Max Ophüls,"Joan Fontaine, Louis Jourdan, Mady Christians",tt0040536
A Good Woman,A 1930s American socialite creates a scandal in the expatriate high society of the Amalfi Coast of Italy when she forms a secretive relationship with a wealthy American unbeknownst to his young wife.,13 May 2005,"Drama, Comedy, Romance",Drama,6.4,2004,Mike Barker,"Helen Hunt, Scarlett Johansson, Tom Wilkinson",tt0379306
Woman at War,"Halla becomes a determined environmental activist, but this threatens a long-held hope of hers.",22 May 2018,"Adventure, Comedy, Drama",Drama,7.4,2018,Benedikt Erlingsson,"Halldóra Geirharðsdóttir, Jóhann Sigurðarson, Juan Camilo Román Estrada",tt7279188
Woman of the Year,"Sportswriter Sam Craig and columnist Tess Harding, with the same New York newspaper, overcome their initial antagonism, fall in love and get married, only to find their relationship strained when he comes to resent her hectic life...",05 Mar 1942,"Comedy, Drama, Romance",Drama,7.1,1942,George Stevens,"Spencer Tracy, Katharine Hepburn, Fay Bainter",tt0035567
The Invisible Woman,"At the height of his career, Charles Dickens meets a younger woman who becomes his secret lover until his death.",21 Feb 2014,"Biography, Drama, History",Drama,6.1,2013,Ralph Fiennes,"Ralph Fiennes, Felicity Jones, Kristin Scott Thomas",tt1700845
I'm Your Woman,"In this 1970s set crime drama, a woman is forced to go on the run after her husband betrays his partners, sending her and her baby on a dangerous journey.",11 Dec 2020,"Crime, Drama",Drama,6.2,2020,Julia Hart,"Rachel Brosnahan, Marsha Stephanie Blake, Arinzé Kene",tt10243992
...And God Created Woman,"In sunny St. Tropez, a young woman loves one brother but marries the other.",21 Oct 1957,"Drama, Romance",Drama,6.3,1956,Roger Vadim,"Brigitte Bardot, Curd Jürgens, Jean-Louis Trintignant",tt0049189
The Woman in the Yard,"A mysterious woman repeatedly appears in a family's front yard, often delivering chilling warnings and unsettling messages, leaving them to question her identity, motives and the potential danger she might pose.",28 Mar 2025,"Drama, Horror, Thriller",Drama,5.1,2025,Jaume Collet-Serra,"Danielle Deadwyler, Okwui Okpokwasili, Peyton Jackson",tt31314296
The Woman Next Door,Two ex-lovers wind up living next door to each other with their respective spouses. Forbidden passions ensue.,30 Sep 1981,"Drama, Romance",Drama,7.2,1981,François Truffaut,"Gérard Depardieu, Fanny Ardant, Henri Garcin",tt0082370
Woman Walks Ahead,"Catherine Weldon, a portrait painter from 1890s Brooklyn, travels to Dakota to paint a portrait of Sitting Bull and becomes embroiled in the Lakota peoples' struggle over the rights to their land.",29 Jun 2018,"Biography, Drama, History",Drama,6.7,2017,Susanna White,"Jessica Chastain, Louisa Krause, Boots Southerland",tt5436228
American Woman,A woman raises her young grandson after her daughter goes missing.,14 Jun 2019,"Drama, Mystery",Drama,6.8,2018,Jake Scott,"Sienna Miller, Sky Ferreira, Kentucker Audley",tt4465572
The Most Hated Woman in America,"The life of Madelyn Murray O'Hair, the outspoken activist and founder of American Atheists.",24 Mar 2017,"Biography, Drama, History",Drama,6.1,2017,Tommy O'Haver,"Melissa Leo, Brandon Mychal Smith, Juno Temple",tt4842646
The Woman in the Fifth,"A college lecturer flees to Paris after a scandal costs him his job. In the City of Light, he meets a widow who might be involved in a series of murders.",16 Nov 2011,"Drama, Mystery, Thriller",Drama,5.3,2011,Pawel Pawlikowski,"Ethan Hawke, Kristin Scott Thomas, Joanna Kulig",tt1605777
A Woman in Berlin,A woman tries to survive the invasion of Berlin by the Soviet troops during the last days of World War II.,23 Oct 2008,"Biography, Drama, History",Drama,7.0,2008,Max Färberböck,"Nina Hoss, Evgeniy Sidikhin, Irm Hermann",tt1035730
The Woman in Green,"Sherlock Holmes investigates when young women around London turn up murdered, each with a finger severed. Scotland Yard suspects a madman, but Holmes believes the killings to be part of a diabolical plot.",27 Jul 1945,"Crime, Drama, Horror",Drama,6.6,1945,Roy William Neill,"Basil Rathbone, Nigel Bruce, Hillary Brooke",tt0038259
Huesera: The Bone Woman,"Valeria has long dreamed about becoming a mother. After learning that she's pregnant, she expects to feel happy, yet something's off.",16 Feb 2023,"Drama, Horror",Drama,6.0,2022,Michelle Garza Cervera,"Natalia Solián, Alfonso Dosal, Mayra Batalla",tt11718516
A Woman of Paris: A Drama of Fate,A kept woman runs into her former fiancé and finds herself torn between love and comfort.,04 Nov 1923,"Drama, Romance",Drama,6.9,1923,Charles Chaplin,"Edna Purviance, Clarence Geldert, Carl Miller",tt0014624
Attack of the 50 Foot Woman,"When an abused socialite grows to giant size because of an alien encounter and an aborted murder attempt, she goes after her cheating husband with revenge on her mind.",18 May 1958,"Drama, Horror, Sci-Fi",Drama,5.1,1958,Nathan Juran,"Allison Hayes, William Hudson, Yvette Vickers",tt0051380
An Unmarried Woman,A Manhattan woman struggles with her identity as she tries to move on from a painful divorce.,17 Mar 1978,"Comedy, Drama, Romance",Drama,7.2,1978,Paul Mazursky,"Jill Clayburgh, Alan Bates, Michael Murphy",tt0078444
The Headless Woman,"After hitting something with her car, a bourgeois Argentine woman's life slowly descends into paranoia and isolation, as she fears she may have killed someone.",21 Aug 2008,"Drama, Mystery, Thriller",Drama,6.5,2008,Lucrecia Martel,"María Onetto, Claudia Cantero, César Bordón",tt1221141
A Good Woman Is Hard to Find,A recently widowed young mother will go to any lengths to protect her children as she seeks the truth behind her husband's murder.,08 May 2020,"Crime, Drama, Thriller",Drama,6.3,2019,Abner Pastoll,"Sarah Bolger, Edward Hogg, Andrew Simpson",tt6624144
Scent of a Woman,A young private is assigned to accompany a blind captain. It soon becomes clear that they are both complex personalities.,20 Dec 1974,"Comedy, Drama",Drama,7.5,1974,Dino Risi,"Vittorio Gassman, Alessandro Momo, Agostina Belli",tt0072037
That Hamilton Woman,"The story of courtesan and dance-hall girl Emma Hamilton, including her relationships with Sir William Hamilton and Admiral Horatio Nelson, and her rise and fall, set during the Napoleonic Wars.",30 Apr 1941,"Drama, History, Romance",Drama,7.2,1941,Alexander Korda,"Vivien Leigh, Laurence Olivier, Alan Mowbray",tt0034272
When a Woman Ascends the Stairs,"A middle-aged bar hostess, constantly in debt, is faced with numerous social constraints and challenges posed to her by her family, customers and friends.",25 Jun 1963,Drama,Drama,8.0,1960,Mikio Naruse,"Hideko Takamine, Tatsuya Nakadai, Masayuki Mori",tt0054144
Woman on the Run,"Frank Johnson becomes an eyewitness to a murder. He's pursued around San Francisco by his wife, the police, and the killer.",04 Feb 1951,"Crime, Drama, Film-Noir",Drama,7.2,1950,Norman Foster,"Ann Sheridan, Dennis O'Keefe, Robert Keith",tt0043142
A Married Woman,A superifical woman finds conflict choosing between her abusive husband and her vain lover.,04 Dec 1964,"Drama, Romance",Drama,7.1,1964,Jean-Luc Godard,"Bernard Noël, Macha Méril, Philippe Leroy",tt0058701
Woman in the Moon,A tenacious scientist blasts off for the moon in hopes of riches that may be found there.,06 Feb 1931,"Adventure, Comedy, Drama",Drama,7.2,1929,Fritz Lang,"Willy Fritsch, Gerda Maurus, Klaus Pohl",tt0019901
The Devil Is a Woman,"A young man is warned by a captain about a temptress; nonetheless, he finds himself falling in love with her.",15 Mar 1935,"Comedy, Drama, Romance",Drama,6.9,1935,Josef von Sternberg,"Marlene Dietrich, Lionel Atwill, Edward Everett Horton",tt0026276
The Watermelon Woman,"A young black lesbian filmmaker probes into the life of The Watermelon Woman, a 1930s black actress who played 'mammy' archetypes.",05 Mar 1997,"Comedy, Drama, Romance",Drama,7.1,1996,Cheryl Dunye,"Cheryl Dunye, Guinevere Turner, Valarie Walker",tt0118125
Red-Headed Woman,A gold-digging secretary will do whatever it takes to get ahead in society-including luring her morally minded boss away from his happy marriage.,25 Jun 1932,"Comedy, Drama, Romance",Drama,7.0,1932,Jack Conway,"Jean Harlow, Chester Morris, Lewis Stone",tt0023385
The Woman Who Ran,"While her husband is on a business trip, Gamhee meets three of her friends on the outskirts of Seoul. They make friendly conversation but there are different currents flowing independently of each other, both above and below the s...",09 Jul 2021,Drama,Drama,6.7,2020,Hong Sang-soo,"Kim Min-hee, Lee Eun-mi, Song Seon-mi",tt11697690
"A Woman, a Gun and a Noodle Shop",The owner of a Chinese noodle shop's scheme to murder his adulterous wife and her lover goes awry.,11 Dec 2009,"Comedy, Drama",Drama,5.6,2009,Yimou Zhang,"Dahong Ni, Ni Yan, Shenyang Xiao",tt1428556
Identification of a Woman,A director's wife leaves him. He pursues another woman who also departs. This inspires a movie idea about women's relationships. He searches for an actress to star in the film and his life.,15 Nov 1996,"Drama, Romance",Drama,6.7,1982,Michelangelo Antonioni,"Tomas Milian, Daniela Silverio, Christine Boisson",tt0084116
